id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
1,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"Kanamadilihena, lakshapana",Landslide,2,7
2,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,1,4
3,Nuwaraeliya,Ambagamuwa Korale,315 A Ginigathhena,Kadawala,Landslide,1,1
4,Nuwaraeliya,Ambagamuwa Korale,315 A Ginigathhena,"Kadusirigama, Peragolla, Ginigathhena",Landslide,1,5
5,Nuwaraeliya,Ambagamuwa Korale,316 C Kalugala,"Kalugala, Ptawala",Landslide,4,9
6,Nuwaraeliya,Ambagamuwa Korale,316 C Kalugala,"Gasnagaldeniya, Kalugala, Pitawala",Landslide,1,2
7,Nuwaraeliya,Ambagamuwa Korale,316 D Pitawala,Yahida Janapadaya,Landslide,5,15
8,Nuwaraeliya,Ambagamuwa Korale,316 E Millagahamula,Millagahamulla,Landslide,4,13
9,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,2,7
10,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"Weralugsthenna, Lakshapana",Landslide,1,4
11,Nuwaraeliya,Ambagamuwa Korale,318 D Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,7,22
12,Nuwaraeliya,Ambagamuwa Korale,318 D Jambuthenna,"Gatagahawatta, Hagarapitiya",Landslide,1,3
13,Nuwaraeliya,Ambagamuwa Korale,318 D Jambuthenna,"Babaragala, Koththalhena, Hatton",Landslide,1,4
14,Nuwaraeliya,Ambagamuwa Korale,316 D Pitawala,Yahida Road,Landslide,1,4
15,Nuwaraeliya,Ambagamuwa Korale,316 D Pitawala,Samangiri Janapadaya,Landslide,2,7
16,Nuwaraeliya,Ambagamuwa Korale,316 D Pitawala,Pitawala,Landslide,1,3
17,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"Katakithula, Lakshapana",Landslide,1,4
18,Nuwaraeliya,Ambagamuwa Korale,317 A Lakshapana,"4 Kanuwa, Lakshapana",Landslide,1,3
19,Nuwaraeliya,Ambagamuwa Korale,318 B Gagarapitiya,"Gagarapitiya, Hatton",Landslide,16,47
