location_id,district,ds_division,gn_division,Unnamed: 4,latitude,longitude,elevation,avg_rainfall,rainfall_7d,dist_to_river_km
KAD-001,Colombo,Kaduwela,Ranala,,6.936418825,79.95721616,7.0,10.556010928961745,67.6,1.3004851058166633
KAD-002,Colombo,Kaduwela,Nawagamuwa,,6.933356197,79.96889867,6.0,10.556010928961745,67.6,0.7506010195401944
KAD-003,Colombo,Kaduwela,Nawagamuwa South,,6.930697044,79.97628212,13.0,10.556010928961745,67.6,0.7063148635552456
KAD-004,Colombo,Kaduwela,Ihala Bomiriya,,6.93078197,79.98522276,17.0,10.556010928961745,67.6,0.6487468656640014
KAD-005,Colombo,Kaduwela,Wekewatta,,6.935271877,79.99756881,16.0,10.556010928961745,67.6,0.870120498304762
KAD-006,Colombo,Kaduwela,Pahala Bomiriya A,,6.939299641,80.00611319,14.0,10.556010928961745,67.6,1.19258611250562
KAD-007,Colombo,Kaduwela,Pahala Bomiriya B,,6.933944564,80.01282884,16.0,10.556010928961745,67.6,1.2064548931475703
KAD-008,Colombo,Kaduwela,Kothalawala,,6.919219581,80.01787205,15.0,10.556010928961745,67.6,1.9599936798599364
KAD-009,Colombo,Kaduwela,Kaduwela,,6.923638625,80.00217552,23.0,10.556010928961745,67.6,0.6048286115965096
KAD-010,Colombo,Kaduwela,Hewagama,,6.921059689,79.99357776,8.0,10.556010928961745,67.6,1.1170728966077066
KAD-011,Colombo,Kaduwela,Raggahawatta,,6.920401156,79.97990993,8.0,10.556010928961745,67.6,1.691965197510849
KAD-012,Colombo,Kaduwela,Welivita,,6.924697644,79.96122729,30.0,10.556010928961745,67.6,1.8961834151049797
KAD-013,Colombo,Kaduwela,Mahadeniya,,6.913103431,79.95569221,18.0,10.556010928961745,67.6,3.322854602867188
KAD-014,Colombo,Kaduwela,Malabe East,,6.912208331,79.96866368,25.0,10.556010928961745,67.6,2.9262875473391183
KAD-015,Colombo,Kaduwela,Malabe West,,6.902882515,79.98650766,15.0,10.556010928961745,67.6,3.1454010058522925
KAD-016,Colombo,Kaduwela,Malabe North,,6.907324496,80.00121124,16.0,10.556010928961745,67.6,2.419206895687878
KAD-017,Colombo,Kaduwela,Thalangama North B,,6.903982929,80.01331266,25.0,10.556010928961745,67.6,3.001521155036933
KAD-018,Colombo,Kaduwela,Thalahena North,,6.906492194,80.02712134,20.0,10.751639344262298,58.5,3.646202360119517
KAD-019,Colombo,Kaduwela,Thalahena South,,6.916541716,80.03231218,10.0,10.751639344262298,58.5,3.509539775089781
KAD-020,Colombo,Kaduwela,Welipillewa,,6.897489515,80.02548469,59.0,10.751639344262298,58.5,4.2874626948300865
KAD-021,Colombo,Kaduwela,Dedigamuwa,,6.891057061,80.02954413,22.0,10.751639344262298,58.5,5.130458006881465
KAD-022,Colombo,Kaduwela,Embilladeniya,,6.884546863,80.03092798,19.0,10.744262295081963,65.0,5.819733850724925
KAD-023,Colombo,Kaduwela,Batewela,,6.892600466,79.99741562,21.0,10.556010928961745,67.6,4.095794505470206
KAD-024,Colombo,Kaduwela,Oruwala,,6.886277103,79.98473361,25.0,10.689344262295073,59.4,5.000351728622169
KAD-025,Colombo,Kaduwela,Shanthalokagama,,6.903090918,79.97361032,29.0,10.556010928961745,67.6,3.635998726384957
KAD-026,Colombo,Kaduwela,Korathota,,6.901557717,79.96113732,16.0,10.556010928961745,67.6,4.352198609347575
KAD-027,Colombo,Kaduwela,Welihinda,,6.905866226,79.95174268,23.0,10.556010928961745,67.6,4.237083958930884
KAD-028,Colombo,Kaduwela,Thunadahena,,6.912750148,79.94812311,19.0,10.556010928961745,67.6,3.789152861422431
KAD-029,Colombo,Kaduwela,Pore,,6.90765018,79.94160754,8.0,9.018032786885243,32.6,4.679438007430979
KAD-030,Colombo,Kaduwela,Boralugoda,,6.911310012,79.93166233,21.0,9.018032786885243,32.6,5.0059162030913384
KAD-031,Colombo,Kaduwela,Athurugiriya,,6.917653634,79.92330019,24.0,9.018032786885243,32.6,4.763780397006744
KAD-032,Colombo,Kaduwela,Walpola,,6.913542092,79.91360514,10.0,9.018032786885243,32.6,5.722082034387675
KAD-033,Colombo,Kaduwela,Hokandara North,,6.911125464,79.90645989,12.0,9.018032786885243,32.6,6.419256903122375
KAD-034,Colombo,Kaduwela,Hokandara East,,6.905437274,79.91491625,10.0,9.018032786885243,32.6,6.4013116977658795
,,,,,6.907778017,79.92241274,16.0,9.018032786885243,32.6,5.792088909487768
,,,,,6.9010843,79.92433304,17.0,9.018032786885243,32.6,6.401422661858416
,,,,,6.900508065,79.9368711,18.0,9.018032786885243,32.6,5.625660316115392
,,,,,6.895891928,79.95300338,23.0,10.556010928961745,67.6,5.208481303628529
,,,,,6.890870761,79.97138165,29.0,10.556010928961745,67.6,4.944772496229667
,,,,,6.88402365,80.00161016,23.0,10.689344262295073,59.4,5.003845317804754
,,,,,6.873479792,79.99848506,21.0,10.689344262295073,59.4,6.194549175074851
,,,,,6.871148539,79.98757322,24.0,10.689344262295073,59.4,6.644355501430627
,,,,,6.874048587,79.98035642,23.0,10.689344262295073,59.4,6.420946497537516
,,,,,6.875472675,79.97294317,36.0,10.689344262295073,59.4,6.470380085982653
,,,,,6.885607652,79.96317184,27.0,10.689344262295073,59.4,5.895477380299134
,,,,,6.884102665,79.95348061,29.0,9.29945355191256,42.9,6.446416562995707
