id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people,lat,lng,geocode_precision,label,jittered
1,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Kanamadilihena, lakshapana",Landslide,2.0,7.0,6.9003514,80.4978097,gn_division,1,False
2,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,1.0,4.0,6.9003514,80.4978097,gn_division,1,False
3,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,Kadawala,Landslide,1.0,1.0,6.9890908,80.4941848,gn_division,1,False
4,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"Kadusirigama, Peragolla, Ginigathhena",Landslide,1.0,5.0,6.9890908,80.4941848,gn_division,1,False
5,Nuwaraeliya,Ambagamuwa,316 C Kalugala,"Kalugala, Ptawala",Landslide,4.0,9.0,6.9866191,80.4454418,gn_division,1,False
6,Nuwaraeliya,Ambagamuwa,316 C Kalugala,"Gasnagaldeniya, Kalugala, Pitawala",Landslide,1.0,2.0,6.9866191,80.4454418,gn_division,1,False
7,Nuwaraeliya,Ambagamuwa,316 D Pitawala,Yahida Janapadaya,Landslide,5.0,15.0,7.012135827521417,80.49984406923258,ds_division,1,True
8,Nuwaraeliya,Ambagamuwa,316 E Millagahamula,Millagahamulla,Landslide,4.0,13.0,7.023014819922504,80.49168738398761,ds_division,1,True
9,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,2.0,7.0,6.9003514,80.4978097,gn_division,1,False
10,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Weralugsthenna, Lakshapana",Landslide,1.0,4.0,6.9003514,80.4978097,gn_division,1,False
11,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,7.0,22.0,7.018675016881468,80.49134601167943,ds_division,1,True
12,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Gatagahawatta, Hagarapitiya",Landslide,1.0,3.0,7.005706162934728,80.48356289789739,ds_division,1,True
13,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Babaragala, Koththalhena, Hatton",Landslide,1.0,4.0,7.02789743178572,80.50660359260151,ds_division,1,True
14,Nuwaraeliya,Ambagamuwa,316 D Pitawala,Yahida Road,Landslide,1.0,4.0,7.025217136379114,80.50257152151288,ds_division,1,True
15,Nuwaraeliya,Ambagamuwa,316 D Pitawala,Samangiri Janapadaya,Landslide,2.0,7.0,7.024570739136243,80.49522205351067,ds_division,1,True
16,Nuwaraeliya,Ambagamuwa,316 D Pitawala,Pitawala,Landslide,1.0,3.0,7.023060181571019,80.48830112727688,ds_division,1,True
17,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Katakithula, Lakshapana",Landslide,1.0,4.0,6.9003514,80.4978097,gn_division,1,False
18,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"4 Kanuwa, Lakshapana",Landslide,1.0,3.0,6.9003514,80.4978097,gn_division,1,False
19,Nuwaraeliya,Ambagamuwa,318 B Gagarapitiya,"Gagarapitiya, Hatton",Landslide,16.0,47.0,7.008336351985786,80.48520444484303,ds_division,1,True
20,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Gadumawatta, Koththalhena, Hatton", Landslide,9.0,22.0,7.014655235503081,80.47730106785757,ds_division,1,True
21,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,3.0,11.0,7.034714440299847,80.49510245699179,ds_division,1,True
22,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Gatagahawatta, Hagarapitiya, Hatton",Landslide,2.0,9.0,7.032665821807863,80.490364595156,ds_division,1,True
23,Nuwaraeliya,Ambagamuwa,318 E Koththalhena,"Miyanapalawa, Koththalhena",Landslide,1.0,5.0,7.024592312317142,80.48289899845938,ds_division,1,True
24,Nuwaraeliya,Ambagamuwa,318 E Koththalhena,"Koththalhena, Hatton",Landslide,2.0,9.0,7.019219801467356,80.49451031671119,ds_division,1,True
25,Nuwaraeliya,Ambagamuwa,318 E Koththalhena,"Thebaton, Norton bridge",Landslide,1.0,4.0,7.020074070741686,80.49569451071496,ds_division,1,True
26,Nuwaraeliya,Ambagamuwa,314 B Abagamuwa North,"Coolborn road, Udubulathgama",Landslide,2.0,7.0,7.025442918416023,80.50793049488358,ds_division,1,True
27,Nuwaraeliya,Ambagamuwa,314 B Abagamuwa North,"Peradeniya House, Coolborn Road, Abagamuwa",Landslide,2.0,10.0,7.015212118769874,80.50340133778684,ds_division,1,True
28,Nuwaraeliya,Ambagamuwa,314 F Dehigasthenna,"Dehigastenna, Ambagamuwa",Landslide,1.0,4.0,7.018700688075112,80.49299953349941,ds_division,1,True
29,Nuwaraeliya,Ambagamuwa,314 C Sellipigama,Sellipigama,Landslide,1.0,7.0,7.017200700433913,80.4937893090801,ds_division,1,True
30,Nuwaraeliya,Ambagamuwa,315 Thiniyagala,"Alagala, Ginigathhena",Landslide,1.0,5.0,7.015801978503914,80.50466874853873,ds_division,1,True
31,Nuwaraeliya,Ambagamuwa,314 D Homagama,"Nayawala, Kelanigama, Ginigathhena",Landslide,2.0,11.0,7.01879481095107,80.49296600789383,ds_division,1,True
32,Nuwaraeliya,Ambagamuwa,314 D Homagama,"Kelanigama, Homagama, Ginigathhena",Landslide,1.0,6.0,7.020718389702834,80.4952688454275,ds_division,1,True
33,Nuwaraeliya,Ambagamuwa,314 E Kalaweldeniya,"Abradine 2, Widulipura",Landslide,3.0,12.0,6.949261,80.4953134,gn_division,1,False
34,Nuwaraeliya,Ambagamuwa,314 G Habbakanda,"Habbakanda, Ginigathhena",Landslide,3.0,12.0,7.016276761390628,80.50263992392789,ds_division,1,True
35,Nuwaraeliya,Ambagamuwa,314 G Habbakanda,"Horakada, Ginigathhena",Landslide,1.0,5.0,7.010540388855112,80.50237590714737,ds_division,1,True
36,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"Kenilworth 04, Ginigathhena",Landslide,1.0,4.0,6.9998737,80.4826168,address,1,False
37,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,Ginigathhena,Landslide,1.0,3.0,6.9905174,80.4893267,address,1,False
38,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"No 227, Peragahamula, Hatton Road, Ginigathhena",Landslide,1.0,4.0,6.9890908,80.4941848,gn_division,1,False
39,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"Peragahamula, Ginigathhena",Landslide,1.0,5.0,6.9890908,80.4941848,gn_division,1,False
40,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"Kadawala, Ginigathhena",Landslide,1.0,4.0,6.9890908,80.4941848,gn_division,1,False
41,Nuwaraeliya,Ambagamuwa,315 A Ginigathhena,"Pawalamale, Ginigathhena",Landslide,1.0,3.0,6.9890908,80.4941848,gn_division,1,False
42,Nuwaraeliya,Ambagamuwa,315 C Widulipura South,"Akkarawatta, Norton",Landslide,1.0,1.0,7.007562004280139,80.4962509829412,ds_division,1,True
43,Nuwaraeliya,Ambagamuwa,315 D Widulipura North,"Taplo Janapadaya, Widulipura",Landslide,1.0,4.0,7.019750251971002,80.48905303721185,ds_division,1,True
44,Nuwaraeliya,Ambagamuwa,316 Bulathgama,Bulathgama,Landslide,1.0,3.0,7.022854730068197,80.50531334531038,ds_division,1,True
45,Nuwaraeliya,Ambagamuwa,316 Bulathgama,"Badhupola, Ginigathhena",Landslide,1.0,5.0,7.014606727354597,80.49264070238216,ds_division,1,True
46,Nuwaraeliya,Ambagamuwa,316 B Gonawala,"Pahala Kadawala, Ginigathhena",Landslide,5.0,18.0,7.013962286115167,80.48978479327778,ds_division,1,True
47,Nuwaraeliya,Ambagamuwa,316 B Gonawala,"Madilla, Ginigathhena",Landslide,1.0,5.0,7.031745900605083,80.49692468511513,ds_division,1,True
48,Nuwaraeliya,Ambagamuwa,316 B Gonawala,"Gonawala, Ginigathhena",Landslide,2.0,7.0,7.0097314489788465,80.48564902102645,ds_division,1,True
49,Nuwaraeliya,Ambagamuwa,317 Kiriwaneliya,"2 kanuwa, Lakshapana",Landslide,2.0,9.0,7.026191671625248,80.50655968028866,ds_division,1,True
50,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Kanamadilihena, lakshapana",Landslide,2.0,8.0,6.9003514,80.4978097,gn_division,1,False
51,Nuwaraeliya,Ambagamuwa,317 A Lakshapana,"Kuburuhena, Lakshapana",Landslide,1.0,3.0,6.9003514,80.4978097,gn_division,1,False
52,Nuwaraeliya,Ambagamuwa,317 C Morahenagama,"Kiriwelhinna, Morahenagama, Hatton",Landslide,3.0,10.0,7.029737239265145,80.49777024091627,ds_division,1,True
53,Nuwaraeliya,Ambagamuwa,317 C Morahenagama,"Kolhena, Morahenagama, Hatton",Landslide,3.0,12.0,7.028580627443513,80.48976860757365,ds_division,1,True
54,Nuwaraeliya,Ambagamuwa,317 B Waggama,"Udabage, Lakshapana",Landslide,1.0,2.0,7.020513034309877,80.49266102400838,ds_division,1,True
55,Nuwaraeliya,Ambagamuwa,317 B Waggama,"Waggama, Morahenagama, Hatton",Landslide,1.0,4.0,7.021241258118858,80.48679421240399,ds_division,1,True
56,Nuwaraeliya,Ambagamuwa,318 Polpitiya,"Polopitiya, Pitawala",Landslide,4.0,15.0,7.017256682879567,80.49755921579008,ds_division,1,True
57,Nuwaraeliya,Ambagamuwa,318 A Hitigegama,"Hitigegama, Hatton",Landslide,3.0,11.0,7.022458422023939,80.49557624798472,ds_division,1,True
58,Nuwaraeliya,Ambagamuwa,318 C Minuwandeniya,"Minuwandeniya, Hitigegama, Hatton",Landslide,1.0,5.0,7.011824257427987,80.47684808823092,ds_division,1,True
59,Nuwaraeliya,Ambagamuwa,318 D Jambuthenna,"Gatagahawatta, Hagarapitiya, Hatton",Landslide,1.0,4.0,7.012276444944166,80.4956460965413,ds_division,1,True
