appeal_text,language,campaign_type,overall_quality_score,quality_label,data_origin,source
"My name is Elise & I am raising money for our animal shelter TripleA Marbella & San Pedro.
AAA - Amigos de Animales Abandonados (friends of the abandoned animals)
This year our charity celebrates 30 years of existence! We look after the abandoned animals in our municipality and currently we have over 500 animals in our care. The charity costs us over 600,000 € a year to stay open. 
Every day brings a new challenge and we cannot manage without our wonderful team of volunteers, members and donors. 
It is a heartbreaking journey, seeing animals malnourished, neglected, abused and unwanted. Money raised will be used to support our ongoing projects to make life better for these animals and you will receive updates on how your money is spent. 
Last year I walked 100,000 steps in a day for this cause and this year I will push myself a bit further, hopefully raise some much needed funds and spread awareness for TripleA. Please share, a small amount goes a long way to help our animals! 
Thank you so much x",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"What is Austin Pets Alive?
Hi! Want to join me in making a difference? My team and I are raising money to benefit Austin Pets Alive! Austin Pets Alive was first established in 1997 as a no-kill plan for all animals. Later on, in 2008, it became a rescue organization that assists animals in need by providing food, shelter, and medical support. This organization emphasizes decreasing the rate of euthanasia each year and is successfully doing so. In the previous 20 years, they have provided more than 20,000 surgeries for animals in need and are continuously growing.
Why is it important?
On average, 920,000 shelter animals are put down every year in the United States, Shelters around the world country put down an estimated 320,000 dogs and 600,000 cats each year. Between 4000 and 10,000 animals are euthanized daily. 9 out of 10 euthanized animals are adoptable and have no problems with them. 5 states are responsible for 51.5 percent of all animals euthanized. Texas is the second highest animal euthanized with 96.7. Texas euthanized a total of 15.5 percent of the total euthanized in the United States. The methods some shelters euthanized animals are carbon monoxide or carbon monoxide gas chambers. This method is sad because these animals are scared in the gas chambers, before passing away.
What is the process like to adopt? 
If you are thinking of adopting a pet it is an extremely easy process with Austin Pets Alive. A personal friend previously adopted a cat from Austin Pets Alive and this was the process she went through. “The process of adopting my cat Sadie was very easy. On the website, there is a catalog of animals of all types, sizes, sexes, and ages. Within this process, you are able to see pictures and videos of animals you are interested in and a brief description. You are also able to contact the fosters and shelters at any time. After contacting the shelter we adopted our cat Sadie over the phone within 10 minutes. Next, we went through a series of documents we were able to sign on the computer. A week later we were able to simply go and pick her up from her foster family.”
How can you help?
If you are an animal lover like us, help out this fantastic non-profit organization that adopts and fosters pets in the market by contributing to saving lives. There are many ways to help rescue these poor animals, but it all starts with your donations today! Your donations would go towards operations and medical support these animals need to survive. Thank you in advance for contributing to this cause which would mean the world to us.
More information about Austin Pets Alive!: To promote and provide the resources, education, and programs needed to eliminate the killing of companion animals.
Austin Pets Alive
P.O. Box 736245
Dallas, TX 75373-6245
Austin Pets Alive Website",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi everyone, Our 4 month old German Shepard pup has had an accident and fractured her femur growth plate. Unfortunately this was very unexpected and could not have come at the worst time. We are asking out of the kindness of your heart to help us reach our goal in order to get our girl recovering, happy and healthy again. We are in all hopes  trying to avoid other harsh treatment options such as leg amputation. Our girl Sylvie is so young and has a lot of growing, playing , and exploring to do. Your contribution will be much appreciated and we also appreciate any and all support provided. This is a very difficult time and it breaks our hearts to see our girl go through this pain. Please help us get Sylvie the treatment she needs in order to lead a long and healthy and active life.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hello everyone, this fundraiser is for Ozzy. My sweet 10 year old that suddenly has a decline in health. She has been undergoing testing at her main vet the last 2 months with a 2nd vet seeing her this last week. She had X-rays, ultrasounds and blood work ran without answers. She was prescribed antibiotics then steroids. No answers or diagnostic given during this period at all as nothing was showing on any of the tests unfortunately.  On October 30 she drastically declined, unable to walk, vomiting, difficulty breathing and lethargic. She was then taken to the ER and the moment they took her from my arms and to the back she went into cardiac arrest. Thankfully she was resuscitated. Additional tests were done and she was found to be septic from a previously unfound and untreated infection. She is currently on 24/7 oxygen, 24/7 IV antibiotics, 24/7 IV fluids and getting a blood transfusion. In addition more imaging and blood work is to be done once her vitals are hopefully more stable. She is currently, as of October 30 hospitalized for 48 hours with a reevaluation at the end of the 48 hours. I’ve never been in this position with one of my fur babies and any help or shares of this will be greatly appreciated. This sudden decline of health was extreamly unexpected and I truly hope to give her the best possible chance of recovery. My birthday is 11/05 and I want her still here with me for it. I will add the picture of the ER bill for the current visit shortly.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hello fellow animal lovers! Every year our beloved local pet store, Critters & Co Pet Center, takes in hundreds of animals needing care and permanent placement. Some are found, some are quietly dropped off, and some are placed in coordination with their former owners. Regardless of how they arrive, they all need shelter, food, medical care and attention. In the ten months following our first GFM campaign (in November 2021) Debbie and her staff have taken in 458 animals.  FOUR HUNDRED AND FIFTY-EIGHT!!!  That's mind-blowing! That total includes 68 dogs, 74 cats, 44 guinea pigs, 1 snapping turtle, 8 ferrets, 16 chinchillas, 59 rabbits and a few hundred more of various mammals, birds, lizards, snakes, turtles, and more! 
This year the need is greater than ever. As people return to work and life circumstances change, animals continue to be surrendered at increasing rates. Additionally, inflation has negatively impacted all of us, including Critters & Co and their efforts to care for these animals. 
My co-organizer, Elizabeth, and I thank you for taking the time read about this campaign. We would also greatly appreciate 1) donations of any amount, and 2) please share this campaign! 
About 1 in 5 who review this campaign will donate, which means we need to get this to at least 1,000 people to have a reasonable chance of reaching our goal of $14,000.  
Thank you in advance to our generous and wonderful community!",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, my name is Rakael. On October 13, around 530pm, our dog got out around cedar steeet and 14th ave in mission bc. He is a rescue, and super super skittish. We've tried a lot of different things to try and get him home. We've had many sightings, but we haven't been able to quite pinpoint exactly where he's at. We are hoping that we can get a professional dog catcher/search. He has quoted us $2,500.
Please help if you can and share.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi my name is Paige and I am opening up this go fund me for my pretty puppy Keisha! Keisha is a 4.5 year old pure bread Sheltie. Keisha came into my life when she was 3 months old. She stole my heart from the moment I saw her. I knew it was love at first sight! She is and has been the most amazing pup! At 1 years old she suffered an awful seizure which was absolutely devastating!!! Within the last year she has suffered more than 5 seizure! In March of 2022 she was put on phenobarbital to control her seizures but they keep happening. Mommy and daddy are completely heart broken. Keisha doesn't deserve this! My mommy has decided to get me help through a neurologist!! Keisha's appointment is scheduled for November 10th. The first visit is an automatic $300. Keisha will have to go through an MRI and or CT scan which could cost upward of $10,000 dollars! There are no numbers in this world to match the love we have for our precious Keisha girl, but Mommy and daddy are running out of money very quickly which is why we are asking for any kind of donation. Doesn't matter how big or how small. If you can not donate we understand times are rough and if you could just share this we would greatly appreciate it!!! Keisha deserves this and we will do that it takes to make her quality of life that much better!!! Thank you from the bottom of our hearts!!!!",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi my name is Salem and I have a 9 month old puppy named maize. She has had a severe skin allergy resulting in complete hair loss on her lower back and tail, an ear infection, and infected sores on her armpits and belly from itching. She also got raped by another dog while I was at work and is now pregnant. I am 18 years old completely supporting myself on my own and I really need some support with her treatments. Anything helps.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi my name is Gina and I am trying to raise funds for our sweet baby boy Winston the pug. I got Winston from a breeder named honey pets. Winston’s adoption day kept getting pushed back stating that Winston wasn’t ready to leave his mom and that he was still to little and not cleared by the vet for adoption! Once I got Winston he had a little hacking cough which at the time I thought it was nothing, this poor baby developed bilateral meaning both and all lung lobes pneumonia. Winston has been on iv antibiotics, iv fluids and in an oxygen cage. I am so heart broken and am at the max of what I could afford to continue his treatment but he deserves to live! If you could please find it in your heart to donate to this beautiful baby boy as my son and myself have fallen in love with him  so much and he deserves to live! Please help us save Winston!!",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, my name is Robin and I need your help. I am raising funds to save Mr. Whiskers life. Mr. Whiskers was adopted in June of 2018 for my daughter Kyra. With having just moved clear across country from the only home she has ever known, Kyra was struggling to make a home for herself in Florida, let alone make any friends. Mr. Whiskers has been there for her every day of that journey and now is time for us to help him. Mr. Whiskers is fighting for his life with FIP (feline infectious peritonitis). There are treatments for this deadly disease, but that is where we need help. The cost of vet bills and treatment are a lot. So the money donated will go strictly for that. Please help me save my daughter’s best friend.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
