id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
1,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"Kanamadilihena, lakshapana",Landslide,2,7
2,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,1,4
3,Nuwara Eliya,Ambagamuwa Korale,315 A Ginigathhena,Kadawala,Landslide,1,1
4,Nuwara Eliya,Ambagamuwa Korale,315 A Ginigathhena,"Kadusirigama, Peragolla, Ginigathhena",Landslide,1,5
5,Nuwara Eliya,Ambagamuwa Korale,316 C Kalugala,"Kalugala, Ptawala",Landslide,4,9
6,Nuwara Eliya,Ambagamuwa Korale,316 C Kalugala,"Gasnagaldeniya, Kalugala, Pitawala",Landslide,1,2
7,Nuwara Eliya,Ambagamuwa Korale,316 D Pitawala,Yahida Janapadaya,Landslide,5,15
8,Nuwara Eliya,Ambagamuwa Korale,316 E Millagahamula,Millagahamulla,Landslide,4,13
9,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"Kumburuhena, Lakshapana",Landslide,2,7
10,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"Weralugsthenna, Lakshapana",Landslide,1,4
11,Nuwara Eliya,Ambagamuwa Korale,318 D Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,7,22
12,Nuwara Eliya,Ambagamuwa Korale,318 D Jambuthenna,"Gatagahawatta, Hagarapitiya",Landslide,1,3
13,Nuwara Eliya,Ambagamuwa Korale,318 D Jambuthenna,"Babaragala, Koththalhena, Hatton",Landslide,1,4
14,Nuwara Eliya,Ambagamuwa Korale,316 D Pitawala,Yahida Road,Landslide,1,4
15,Nuwara Eliya,Ambagamuwa Korale,316 D Pitawala,Samangiri Janapadaya,Landslide,2,7
16,Nuwara Eliya,Ambagamuwa Korale,316 D Pitawala,Pitawala,Landslide,1,3
17,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"Katakithula, Lakshapana",Landslide,1,4
18,Nuwara Eliya,Ambagamuwa Korale,317 A Lakshapana,"4 Kanuwa, Lakshapana",Landslide,1,3
19,Nuwara Eliya,Ambagamuwa Korale,318 B Gagarapitiya,"Gagarapitiya, Hatton",Landslide,16,47
